#! FIELDS comdist phi file.free der_comdist der_phi
#! SET min_comdist 0.552872
#! SET max_comdist 1.91542
#! SET nbins_comdist  79
#! SET periodic_comdist false
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
    0.552872000   -3.141592654  154.652605073   -0.169058192    0.007631433
    0.570340564   -3.141592654  154.645437358   -0.667167416    0.031326479
    0.587809128   -3.141592654  154.621193500   -2.216464511    0.104553856
    0.605277692   -3.141592654  154.550014162   -6.339499156    0.308509967
    0.622746256   -3.141592654  154.364277857  -15.971727078    0.810270234
    0.640214821   -3.141592654  153.927178933  -36.074393798    1.904451242
    0.657683385   -3.141592654  153.000135582  -73.350437625    4.019243443
    0.675151949   -3.141592654  151.218320157 -135.014715755    7.627187200
    0.692620513   -3.141592654  148.109283580 -225.576158466   13.027935179
    0.710089077   -3.141592654  143.177149619 -342.545698435   20.052468924
    0.727557641   -3.141592654  136.056722374 -473.003071107   27.827588786
    0.745026205   -3.141592654  126.704017268 -593.556682409   34.815362805
    0.762494769   -3.141592654  115.536684859 -676.155940489   39.225721564
    0.779963333   -3.141592654  103.428658415 -698.701516585   39.713669614
    0.797431897   -3.141592654   91.505229720 -655.901577677   36.026765153
    0.814900462   -3.141592654   80.800941460 -563.233674582   29.225038278
    0.832369026   -3.141592654   71.939574034 -450.442413947   21.271644995
    0.849837590   -3.141592654   64.994282156 -348.361136448   14.168756197
    0.867306154   -3.141592654   59.582416544 -276.947234515    9.111719199
    0.884774718   -3.141592654   55.104103934 -241.007268328    6.152215675
    0.902243282   -3.141592654   50.994715840 -232.634513080    4.517882042
    0.919711846   -3.141592654   46.898831530 -236.614564660    3.288814084
    0.937180410   -3.141592654   42.752171684 -235.777444557    1.935825544
    0.954648974   -3.141592654   38.769504489 -216.285205398    0.432141286
    0.972117538   -3.141592654   35.332036266 -173.704806964   -1.008626808
    0.989586103   -3.141592654   32.792399237 -116.169307364   -2.235430707
    1.007054667   -3.141592654   31.271791154  -60.497220307   -3.251325659
    1.024523231   -3.141592654   30.578528818  -23.682090000   -4.097287983
    1.041991795   -3.141592654   30.302238068  -12.780799573   -4.702128935
    1.059460359   -3.141592654   30.021979042  -22.200138110   -4.897820624
    1.076928923   -3.141592654   29.492002699  -39.587206625   -4.593050708
    1.094397487   -3.141592654   28.671380521  -54.155232103   -3.926001891
    1.111866051   -3.141592654   27.648427404  -62.522728475   -3.272713778
    1.129334615   -3.141592654   26.525599539  -66.156422393   -2.987463102
    1.146803179   -3.141592654   25.371063283  -66.318968027   -3.181506233
    1.164271744   -3.141592654   24.240982755  -63.225356879   -3.657864940
    1.181740308   -3.141592654   23.199572959  -56.467907653   -4.155474760
    1.199208872   -3.141592654   22.301832524  -47.184248913   -4.603299110
    1.216677436   -3.141592654   21.574596770  -37.113301749   -5.192708023
    1.234146000   -3.141592654   21.015624441  -27.933740817   -6.173047255
    1.251614564   -3.141592654   20.602188675  -20.492999403   -7.557666975
    1.269083128   -3.141592654   20.303131786  -14.935965243   -8.994289890
    1.286551692   -3.141592654   20.087792133  -11.027818543   -9.915051836
    1.304020256   -3.141592654   19.935304502   -7.200782497   -9.855043520
    1.321488821   -3.141592654   19.863645747   -1.288116856   -8.680191373
    1.338957385   -3.141592654   19.930097195    8.458087111   -6.639483447
    1.356425949   -3.141592654   20.200105330   22.018983046   -4.266526005
    1.373894513   -3.141592654   20.723676837   36.964677128   -2.181201774
    1.391363077   -3.141592654   21.504512241   50.729228895   -0.924538530
    1.408831641   -3.141592654   22.499212230   61.645231581   -0.813196247
    1.426300205   -3.141592654   23.648158948   67.957034163   -1.898914554
    1.443768769   -3.141592654   24.865233750   69.486853080   -4.024822794
    1.461237333   -3.141592654   26.073776621   67.374298968   -6.925283264
    1.478705897   -3.141592654   27.243967149   66.037631152  -10.319449068
    1.496174462   -3.141592654   28.446898431   72.388898722  -13.914244429
    1.513643026   -3.141592654   29.877190250   92.736674638  -17.352104355
    1.531111590   -3.141592654   31.812710869  130.281061909  -20.214792081
    1.548580154   -3.141592654   34.547901659  184.216887253  -22.113498611
    1.566048718   -3.141592654   38.348538060  251.215921917  -22.817420239
    1.583517282   -3.141592654   43.423494627  330.710029681  -22.334720783
    1.600985846   -3.141592654   49.999539936  423.180644736  -20.862630059
    1.618454410   -3.141592654   58.310805831  528.909741660  -18.658031060
    1.635922974   -3.141592654   68.535852187  640.171072038  -15.925624634
    1.653391538   -3.141592654   80.615554614  736.960744366  -12.843389121
    1.670860103   -3.141592654   94.059425819  791.776921029   -9.628394041
    1.688328667   -3.141592654  107.918288047  781.826280783   -6.603501724
    1.705797231   -3.141592654  120.987771808  702.326823565   -4.084379539
    1.723265795   -3.141592654  132.172896645  570.642847339   -2.268041888
    1.740734359   -3.141592654  140.823474003  417.890739802   -1.140269859
    1.758202923   -3.141592654  146.854751222  275.229236838   -0.533846202
    1.775671487   -3.141592654  150.640323533  162.749204341   -0.247312164
    1.793140051   -3.141592654  152.774732737   86.419091316   -0.121279431
    1.810608615   -3.141592654  153.857477327   41.052466662   -0.062408194
    1.828077179   -3.141592654  154.351909169   17.246125086   -0.030849787
    1.845545744   -3.141592654  154.553025378    6.336695983   -0.012142795
    1.863014308   -3.141592654  154.626477787    1.895516123   -0.005105068
    1.880482872   -3.141592654  154.648997074    0.411765159   -0.002325843
    1.897951436   -3.141592654  154.654396801    0.031119515   -0.001434412
    1.915420000   -3.141592654  154.654814812    0.000380031   -0.000045499

    0.552872000   -3.018392942  154.653452339   -0.104505044    0.005992016
