#! FIELDS comdist phi file.free der_comdist der_phi
#! SET min_comdist 1.21549
#! SET max_comdist 3.28727
#! SET nbins_comdist  119
#! SET periodic_comdist false
#! SET min_phi -1.23701
#! SET max_phi 4.37879
#! SET nbins_phi  47
#! SET periodic_phi false
    1.215490000   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.233047458   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.250604915   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.268162373   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.285719831   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.303277288   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.320834746   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.338392203   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.355949661   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.373507119   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.391064576   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.408622034   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.426179492   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.443736949   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.461294407   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.478851864   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.496409322   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.513966780   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.531524237   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.549081695   -1.237010000  112.815831673   -0.000000000   -0.000000000
    1.566639153   -1.237010000  112.815831538   -0.000010947   -0.000001511
    1.584196610   -1.237010000  112.815830800   -0.000066691   -0.000009778
    1.601754068   -1.237010000  112.815828101   -0.000253026   -0.000039990
    1.619311525   -1.237010000  112.815819315   -0.000803834   -0.000138404
    1.636868983   -1.237010000  112.815794050   -0.002229380   -0.000421026
    1.654426441   -1.237010000  112.815729660   -0.005454089   -0.001140600
    1.671983898   -1.237010000  112.815581926   -0.011969042   -0.002788586
    1.689541356   -1.237010000  112.815277685   -0.023614127   -0.006174137
    1.707098814   -1.237010000  112.814710838   -0.042179075   -0.012459483
    1.724656271   -1.237010000  112.813748481   -0.068755322   -0.023076787
    1.742213729   -1.237010000  112.812250898   -0.102943982   -0.039489316
    1.759771186   -1.237010000  112.810102523   -0.142266650   -0.062840304
    1.777328644   -1.237010000  112.807253975   -0.181616249   -0.093506693
    1.794886102   -1.237010000  112.803770106   -0.213079863   -0.130627820
    1.812443559   -1.237010000  112.799875113   -0.226694492   -0.171696119
    1.830001017   -1.237010000  112.795968757   -0.213087965   -0.212459084
    1.847558475   -1.237010000  112.792577055   -0.168083954   -0.247477407
    1.865115932   -1.237010000  112.790217573   -0.097343308   -0.271522888
    1.882673390   -1.237010000  112.789211516   -0.017467513   -0.281480208
    1.900230847   -1.237010000  112.789517670    0.048126900   -0.277993029
    1.917788305   -1.237010000  112.790688382    0.078058704   -0.265849041
    1.935345763   -1.237010000  112.791982258    0.061572118   -0.252770287
    1.952903220   -1.237010000  112.792599275    0.002824254   -0.246976974
    1.970460678   -1.237010000  112.791929806   -0.081486160   -0.254642512
    1.988018136   -1.237010000  112.789721712   -0.168584790   -0.278216446
    2.005575593   -1.237010000  112.786123419   -0.236590585   -0.316028010
    2.023133051   -1.237010000  112.781626241   -0.268745498   -0.362915883
    2.040690508   -1.237010000  112.776957305   -0.255299326   -0.411344265
    2.058247966   -1.237010000  112.772941464   -0.194942662   -0.452816040
    2.075805424   -1.237010000  112.770335223   -0.097348312   -0.479567208
    2.093362881   -1.237010000  112.769628132    0.017086807   -0.486599412
    2.110920339   -1.237010000  112.770878285    0.121065626   -0.473370802
    2.128477797   -1.237010000  112.773667070    0.188726926   -0.444258939
    2.146035254   -1.237010000  112.777200078    0.204507489   -0.407514069
    2.163592712   -1.237010000  112.780536270    0.167418712   -0.372883804
    2.181150169   -1.237010000  112.782845300    0.090759971   -0.348953179
    2.198707627   -1.237010000  112.783627629   -0.002160160   -0.340873064
    2.216265085   -1.237010000  112.782833453   -0.084748974   -0.349145965
    2.233822542   -1.237010000  112.780843840   -0.135724749   -0.369831415
    2.251380000   -1.237010000  112.778302789   -0.147765110   -0.396292912
    2.268937458   -1.237010000  112.775837473   -0.130116253   -0.422084658
    2.286494915   -1.237010000  112.773800954   -0.102437695   -0.443594852
    2.304052373   -1.237010000  112.772194327   -0.083479828   -0.460832151
    2.321609831   -1.237010000  112.770785171   -0.079654675   -0.476183999
    2.339167288   -1.237010000  112.769357706   -0.083309356   -0.491824905
    2.356724746   -1.237010000  112.767905078   -0.080055275   -0.507734376
    2.374282203   -1.237010000  112.766649990   -0.059954016   -0.521499389
    2.391839661   -1.237010000  112.765895268   -0.024209053   -0.529886823
    2.409397119   -1.237010000  112.765826706    0.015899878   -0.530913150
    2.426954576   -1.237010000  112.766397673    0.046374311   -0.525056309
    2.444512034   -1.237010000  112.767349525    0.058347285   -0.515043358
    2.462069492   -1.237010000  112.768336015    0.050816818   -0.504535085
    2.479626949   -1.237010000  112.769054436    0.028828251   -0.496743191
    2.497184407   -1.237010000  112.769311736   -0.000487240   -0.493725158
    2.514741864   -1.237010000  112.769032954   -0.031278680   -0.496296079
    2.532299322   -1.237010000  112.768236326   -0.058677880   -0.504291195
    2.549856780   -1.237010000  112.767023589   -0.078039317   -0.516673431
    2.567414237   -1.237010000  112.765571977   -0.085539876   -0.531622713
