x,y,z,mean_curvature
3.251299999999999812e+01,1.111200000000000045e+02,8.151900000000000546e+01,-7.084501478521479378e-03
1.776999999999999886e+02,1.779399999999999977e+02,7.899299999999999500e+01,-3.269885250749250509e-03
2.244699999999999989e+02,5.955700000000000216e+01,7.885599999999999454e+01,-2.804136872227773122e-03
1.988000000000000114e+02,2.256699999999999875e+02,7.853100000000000591e+01,-8.557302268731269146e-03
7.735099999999999909e+01,1.995399999999999920e+02,8.642300000000000182e+01,-3.271530690309690844e-03
2.543700000000000045e+02,2.137199999999999989e+02,8.148699999999999477e+01,-1.623377132867132944e-03
2.134099999999999966e+02,1.610500000000000114e+02,8.070000000000000284e+01,-4.336831028971025966e-04
2.656399999999999864e+02,3.414900000000000091e+01,7.708199999999999363e+01,-6.985008881118880998e-03
1.068299999999999983e+02,6.742400000000000659e+01,8.044799999999999329e+01,-8.031693607392607903e-03
5.708599999999999675e+00,1.517800000000000011e+02,8.156100000000000705e+01,-3.019175754245751386e-04
5.928199999999999648e+01,2.128100000000000023e+02,8.248900000000000432e+01,-5.344130844155844072e-03
1.383000000000000007e+01,1.605799999999999983e+01,7.393899999999999295e+01,-7.620717937062937604e-03
1.577500000000000000e+02,2.046100000000000136e+02,7.839499999999999602e+01,-3.908086979020979589e-03
2.652699999999999818e+02,1.368199999999999932e+02,7.963800000000000523e+01,-8.185230196803198674e-03
1.655699999999999861e+01,1.136700000000000088e+01,7.397499999999999432e+01,-8.560151458541460229e-03
1.187300000000000040e+02,5.050399999999999778e+00,8.623799999999999955e+01,-4.842487532467532226e-03
7.504999999999999716e+01,2.503200000000000003e+01,7.850400000000000489e+01,-1.112900470829170964e-02
2.339499999999999886e+02,1.521899999999999977e+02,7.837999999999999545e+01,-7.487859554445554060e-03
1.666299999999999955e+02,2.428700000000000045e+02,8.175400000000000489e+01,-8.161524495504496671e-03
1.741299999999999955e+02,1.595099999999999909e+02,8.040999999999999659e+01,-5.873168275724276535e-03
2.260399999999999920e+02,1.937199999999999989e+02,7.868899999999999295e+01,-3.323756829170829413e-03
5.361800000000000210e+01,2.176500000000000057e+02,8.349500000000000455e+01,2.539944888111887993e-03
2.104000000000000057e+02,2.569600000000000151e+01,7.744899999999999807e+01,1.132512967032966956e-03
1.329699999999999989e+02,2.061399999999999864e+02,8.164199999999999591e+01,-3.805593139860139872e-03
2.232199999999999989e+02,1.152800000000000011e+02,7.793300000000000693e+01,-9.062460109890108778e-03
1.923799999999999955e+02,2.375099999999999909e+02,7.930200000000000671e+01,-1.140085688911088996e-02
1.311800000000000068e+02,1.758199999999999932e+02,7.836400000000000432e+01,-2.945362918081918194e-03
